x,y,z,xVelocity,yVelocity,zVelocity,velMagnitude,mass,typeOfParticle
0,0,0,0,0,0,0,1.67e-24,1
0.05,0,0,0,0,0,0,1.67e-24,1
0,0.05,0,0,0,0,0,1.67e-24,1
0.05,0.05,0,0,0,0,0,1.67e-24,1
0,0,0.05,0,0,0,0,1.67e-24,1
0.05,0,0.05,0,0,0,0,1.67e-24,1
0,0.05,0.05,0,0,0,0,1.67e-24,1
0.05,0.05,0.05,0,0,0,0,1.67e-24,1
